iter	MultiClass
0	1.425848691
1	1.282125398
2	1.164858143
3	1.066495424
4	0.9823733119
5	0.9093412782
6	0.8452034992
7	0.788337194
8	0.7375462005
9	0.6918891295
10	0.6505859326
11	0.6131432464
12	0.5789823876
13	0.547742977
14	0.5190817615
15	0.4927415727
16	0.4685013037
17	0.4460984184
18	0.4253454411
19	0.4061319536
20	0.3883329277
21	0.3717852858
22	0.3563405908
23	0.341962713
24	0.3285857121
25	0.3160680224
26	0.3043910876
27	0.2935179638
28	0.2833057187
29	0.2737475679
30	0.2647790946
31	0.2564206714
32	0.2485486172
33	0.2412057687
34	0.2343243591
35	0.2278555538
36	0.2217677491
37	0.2160525903
38	0.2107058164
39	0.2057313381
40	0.2010051199
41	0.1965393582
42	0.1923367979
43	0.1883760836
44	0.1846929572
45	0.1812126135
46	0.1778991159
47	0.1748269156
48	0.1719115957
49	0.1692009683
50	0.1666589788
51	0.1642504359
52	0.1619702834
53	0.1598259262
54	0.15777831
55	0.1558566362
56	0.1540555191
57	0.1523392511
58	0.1506746075
59	0.1491465385
60	0.1477339546
61	0.1463706779
62	0.1450780684
63	0.1438779013
64	0.1427085651
65	0.1416114977
66	0.140598864
67	0.1395838215
68	0.1387352616
69	0.1379143197
70	0.1371170288
71	0.1363214157
72	0.135541381
73	0.1348578952
74	0.1342364124
75	0.1335813403
76	0.1329813373
77	0.1324133506
78	0.1318743662
79	0.1313549401
80	0.1308526553
81	0.1304338696
82	0.1299989371
83	0.1295814267
84	0.1291871777
85	0.1287978648
86	0.1284335695
87	0.1281158359
88	0.1277609708
89	0.1274261017
90	0.12711169
91	0.1268412703
92	0.1264849667
93	0.1261774443
94	0.1259595395
95	0.1257670995
96	0.125569309
97	0.1253384205
98	0.1251333567
99	0.1249200029
100	0.1247693747
101	0.1245816787
102	0.1243700444
103	0.1241275898
104	0.1239368964
105	0.1237520765
106	0.1235946666
107	0.12341947
108	0.1232585627
109	0.1230828585
110	0.1229410881
111	0.1227658607
112	0.1226080197
113	0.122438292
114	0.1223121487
115	0.1222075124
116	0.122040534
117	0.1219243685
118	0.1218272628
119	0.1216649631
120	0.1215436156
121	0.1214362863
122	0.1213419144
123	0.121251742
124	0.1211150904
125	0.1210316534
126	0.1209276902
127	0.1208289066
128	0.1207223766
129	0.1205848115
130	0.1204853899
131	0.1203743177
132	0.1203000494
133	0.1202083044
134	0.1201056871
135	0.1200146123
136	0.1198594435
137	0.1197853988
138	0.1197288063
139	0.1196582989
140	0.1195862552
141	0.1195399675
142	0.1194511095
143	0.1193687316
144	0.1192900544
145	0.1192333711
146	0.11913958
147	0.1190787508
148	0.1190192094
149	0.1189531888
150	0.1188738841
151	0.118822203
152	0.1187694537
153	0.1186852481
154	0.1186184848
155	0.1185600378
156	0.1184564438
157	0.1183781891
158	0.1183123265
159	0.1182193062
160	0.1181602668
161	0.1181370011
162	0.1180696047
163	0.1179828353
164	0.1178861604
165	0.1178285267
166	0.1177649908
167	0.1177024079
168	0.1176389663
169	0.1175864341
170	0.117533994
171	0.1174761943
172	0.117381219
173	0.1173120253
174	0.1172492136
175	0.1171658152
176	0.1171043497
177	0.1170470212
178	0.1169620008
179	0.1169342877
180	0.1168479974
181	0.1168053387
182	0.1167548059
183	0.1166965949
184	0.1166627543
185	0.1166195922
186	0.1165814857
187	0.1165273737
188	0.1164918638
189	0.116457559
190	0.1163862725
191	0.1163172975
192	0.1162658381
193	0.1162114503
194	0.1161629247
195	0.1161107248
196	0.1160522526
197	0.1159947447
198	0.1159553935
199	0.1159229304
200	0.1158978235
201	0.115842146
202	0.1157785343
203	0.1157112809
204	0.1156784208
205	0.1156311584
206	0.1155964789
207	0.1155489993
208	0.1154685326
209	0.1154350276
210	0.1153898221
211	0.1153493497
212	0.1153007767
213	0.1152540219
214	0.1152026996
215	0.11514639
216	0.1151005098
217	0.1150474723
218	0.1149998438
219	0.114964216
220	0.1149024576
221	0.1148732948
222	0.1148316347
223	0.1147916151
224	0.1147158208
225	0.1146743499
226	0.114623104
227	0.1145664918
228	0.1145236689
229	0.1144897504
230	0.1144563073
231	0.1144337603
232	0.1143866593
233	0.1143441831
234	0.1142977351
235	0.114250493
236	0.1142006159
237	0.1141403164
238	0.1140816232
239	0.1140494997
240	0.1140068747
241	0.1139717319
242	0.1139309225
243	0.1138737917
244	0.1138060749
245	0.1137258602
246	0.1136950027
247	0.113658346
248	0.1136344069
249	0.1135781843
250	0.1135158608
251	0.1134543199
252	0.1134176182
253	0.1133878479
254	0.1133453903
255	0.1133050291
256	0.1132779232
257	0.1132462699
258	0.1132114186
259	0.1131796037
260	0.1131396983
261	0.1130862126
262	0.1130486105
263	0.1129921858
264	0.1129545847
265	0.1128942945
266	0.1128668712
267	0.1128486186
268	0.1128160573
269	0.1127749448
270	0.1127336271
271	0.1126807434
272	0.1126097154
273	0.1125700664
274	0.1125390141
275	0.1125007454
276	0.1124611783
277	0.1124112156
278	0.1123695286
279	0.1123290609
280	0.1122803725
281	0.1122118462
282	0.1121798412
283	0.1121390876
284	0.1120818929
285	0.1120257596
286	0.1119904732
287	0.1119513585
288	0.1119089757
289	0.1118864348
290	0.1118406804
291	0.1117952775
292	0.1117523417
293	0.1117194065
294	0.1116787324
295	0.1116320486
296	0.1115945028
297	0.1115613061
298	0.1115225297
299	0.1114823568
300	0.111443225
301	0.1114182988
302	0.1113703838
303	0.1113360839
304	0.1113119228
305	0.1112521774
306	0.1111700511
307	0.1111250329
308	0.1110929783
309	0.1110647763
310	0.1110204174
311	0.1109763627
312	0.1109305846
313	0.1108914738
314	0.1108442712
315	0.1108206448
316	0.1107951333
317	0.1107646528
318	0.1107307189
319	0.1106786513
320	0.1106336859
321	0.1105960567
322	0.1105768094
323	0.1105355942
324	0.1105114388
325	0.1104708343
326	0.1104403739
327	0.1104066556
328	0.1103746575
329	0.1103191056
330	0.1102636041
331	0.1102010298
332	0.1101706352
333	0.1101287723
334	0.1100842575
335	0.1100182988
336	0.1099854058
337	0.1099591769
338	0.109900082
339	0.1098553851
340	0.1098260017
341	0.1097667967
342	0.1097182104
343	0.109680591
344	0.1096456428
345	0.109594958
346	0.1095856543
347	0.1095478445
348	0.1094880229
349	0.1094666102
350	0.1094321604
351	0.1094113032
352	0.1093522964
353	0.1092931941
354	0.1092453745
355	0.109216011
356	0.1091953059
357	0.1091697388
358	0.1091361689
359	0.1090930088
360	0.1090585053
361	0.1090291195
362	0.1089838642
363	0.108943807
364	0.1088955437
365	0.1088545535
366	0.1088230826
367	0.108796267
368	0.1087708657
369	0.1087227792
370	0.1086849759
371	0.1086341846
372	0.1085976998
373	0.1085549075
374	0.1085268128
375	0.1084928028
376	0.1084587386
377	0.1084275285
378	0.108386159
379	0.1083448227
380	0.1083089989
381	0.1082465206
382	0.1082254477
383	0.1081997663
384	0.1081501553
385	0.1081066948
386	0.1080678622
387	0.1080285317
388	0.1079792104
389	0.1079543982
390	0.1078881037
391	0.1078595116
392	0.1078303548
393	0.1078133197
394	0.1077770063
395	0.1077424797
396	0.1077189572
397	0.1076927815
398	0.1076472881
399	0.1075954512
400	0.1075743863
401	0.1075353343
402	0.1075096543
403	0.1074801143
404	0.1074175175
405	0.1073846808
406	0.1073413614
407	0.1072938725
408	0.1072583071
409	0.1072151541
410	0.1071443312
411	0.1071059472
412	0.107052511
413	0.1070215687
414	0.1069922402
415	0.1069518147
416	0.1069301696
417	0.1068602207
418	0.1068296679
419	0.1067728805
420	0.10674771
421	0.1066975103
422	0.1066543157
423	0.1065969205
424	0.1065522379
425	0.1065000699
426	0.1064553302
427	0.1064272724
428	0.1064063886
429	0.1063705233
430	0.1063563747
431	0.1063032168
432	0.1062696123
433	0.1062408492
434	0.1062096413
435	0.1061822532
436	0.106150831
437	0.1061178477
438	0.1060850349
439	0.106059382
440	0.106032309
441	0.1059862461
442	0.1059629797
443	0.105922853
444	0.1058873363
445	0.1058469988
446	0.1058263565
447	0.1057887143
448	0.1057615357
449	0.1057375761
450	0.1057136591
451	0.1056704073
452	0.1056358548
453	0.1056090329
454	0.1055864986
455	0.1055648013
456	0.1055122656
457	0.1054689658
458	0.1054472181
459	0.1054212132
460	0.1053790663
461	0.1053539036
462	0.1053142716
463	0.1053004835
464	0.1052817535
465	0.1052549692
466	0.1052184613
467	0.1051999266
468	0.1051651794
469	0.1051278397
470	0.1050860651
471	0.1050716766
472	0.1050297885
473	0.1049857578
474	0.1049440804
475	0.1049258888
476	0.1048947536
477	0.1048577189
478	0.1048149637
479	0.1047810379
480	0.104757096
481	0.1047349742
482	0.1046989278
483	0.1046642354
484	0.1046421139
485	0.1046102165
486	0.1045922051
487	0.1045687663
488	0.1045388768
489	0.1045091558
490	0.1044867797
491	0.104423969
492	0.1043855931
493	0.1043619236
494	0.1043354939
495	0.1043036911
496	0.1042782757
497	0.1042519903
498	0.1041996345
499	0.1041762222
500	0.1041475879
501	0.1041152684
502	0.1040810048
503	0.1040617742
504	0.1040170777
505	0.1039744241
506	0.1039611752
507	0.1039056388
508	0.1038824486
509	0.103847171
510	0.1038240832
511	0.103789108
512	0.1037519188
513	0.1037272682
514	0.1036957835
515	0.1036712115
516	0.1036369158
517	0.1036067634
518	0.103580067
519	0.103555387
520	0.1035343304
521	0.1034816611
522	0.1034448491
523	0.1034183867
524	0.1033877399
525	0.1033662896
526	0.103333751
527	0.1033011106
528	0.1032549146
529	0.1032147933
530	0.1031900052
531	0.1031624344
532	0.1031221354
533	0.1030979682
534	0.1030654338
535	0.1030341111
536	0.1030048469
537	0.1029739078
538	0.1029353059
539	0.1028744332
540	0.1028529253
541	0.1028247794
542	0.1028030006
543	0.1027894096
544	0.1027679987
545	0.1027505894
546	0.1027219265
547	0.102693533
548	0.1026474769
549	0.1026104127
550	0.102578373
551	0.1025557553
552	0.1025303408
553	0.1025231829
554	0.1024870412
555	0.1024706508
556	0.1024485389
557	0.1024188636
558	0.1023973792
559	0.1023707743
560	0.1023434873
561	0.1023223786
562	0.1023059832
563	0.1022779269
564	0.1022554633
565	0.1022493168
566	0.1022241603
567	0.1022012662
568	0.1021689016
569	0.1021418061
570	0.1021157761
571	0.1020781868
572	0.1020667388
573	0.1020311452
574	0.1020039103
575	0.1019620479
576	0.1019341512
577	0.101905059
578	0.101867373
579	0.1018436527
580	0.1018195978
581	0.1017799632
582	0.1017635146
583	0.1017312064
584	0.1017169777
585	0.101687717
586	0.1016639036
587	0.1016431257
588	0.1016029951
589	0.1015867829
590	0.1015543298
591	0.1015247783
592	0.1014907794
593	0.1014621829
594	0.1014246228
595	0.1013929662
596	0.1013757951
597	0.1013331315
598	0.1013084777
599	0.1012613262
600	0.101223146
601	0.1012020219
602	0.1011836744
603	0.1011644251
604	0.1011458038
605	0.1011280268
606	0.1011000361
607	0.1010792747
608	0.1010431909
609	0.1010228486
610	0.1010052751
611	0.1009748185
612	0.1009537962
613	0.1009369192
614	0.1008964625
615	0.100879181
616	0.1008585764
617	0.1008253463
618	0.1008099398
619	0.100785891
620	0.100759936
621	0.1007275057
622	0.1007150664
623	0.1006847951
624	0.1006552304
625	0.1006104148
626	0.1005924325
627	0.1005591599
628	0.1005499284
629	0.1005321374
630	0.1005117189
631	0.1004937338
632	0.1004741076
633	0.1004492293
634	0.1004234065
635	0.1003950756
636	0.1003605028
637	0.1003329522
638	0.1003139225
639	0.1002980555
640	0.1002797859
641	0.1002455458
642	0.100225343
643	0.1001889649
